Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
,,,,,,,Joseph Pallippaattu,Joseph Pallippaattu,,,"PJ Antony, RA Kollamkode",,Suhruthu (1952),,G Viswanath,,,Joseph Pallippaattu,,,,1952-01-16,Joseph Pallippaattu,"['Alex Parakkal', 'MP Sanku', 'MS Namboothiri', 'PK Sankar', 'PM Revamma', 'V Ramachandran']"
,,Excel Productions,,P Balasubramaniam,,,Thikkurissi Sukumaran Nair,MRS Mani,,Mrs. Rajagopal,Abhayadev,,Achan (1952),,PS Divakar,,M Kunchacko,Thikkurissi Sukumaran Nair,,"P Leela, AM Raja, Kaviyoor CK Revamma, Thiruvananthapuram V Lakshmi, Kozhikode Abdul Khader, M Sathyam",,1952-12-24,Thikkurissi Sukumaran Nair,"['CR Rajakumari', 'Vanakkutty', 'Jayasree (Old)', 'Prem Nazir', 'Thikkurissi Sukumaran Nair', 'Sebastian Kunjukunju Bhagavathar', 'Boban Kunchacko', 'SP Pillai', 'Pankajavalli', 'Mathappan', 'CR Lakshmi', 'BS Saroja', 'Adoor Pankajam', 'Baby Girija']"
,,Aravind Productions,,,,,Vanakkutty,MK Mani,,,Vanakkutty,,Premalekha (1952),,PS Divakar,,,,,"Janamma David, Jose Prakash, NL Ganasaraswathy, Prasad Rao, TA Lakshmi, Ramani",,1952-07-25,Vanakkutty,"['Chitoor Madhavankutty Menon', 'Adoor Pankajam', 'Ambalappuzha Meenakshi', 'Baby Girija', 'Omalloor Chellamma', 'TR Omana', 'Jose Prakash', 'SP Pillai', 'SR Pallatt', 'Vanakkutty', 'Ambalappuzha Rajamma']"
,,Neela Productions,,,,,Thirunayinaarkurichi Madhavan Nair,GR Rao,,,Thirunayinaarkurichi Madhavan Nair,K Velappan,Aathmasakhi (1952),,Br Lakshmanan,,P Subramaniam,Thirunayinaarkurichi Madhavan Nair,,"P Leela, Ghantasala, Jikki (PG Krishnaveni), Mothi, NL Ganasaraswathy, T Lokanathan",,1952-08-17,KP Kottarakkara,"['Pankajavalli', 'Chandni (NR Thankam)', 'Miss Kumari', 'MN Nambiar', 'Kumari Thankam', 'KP Kottarakkara', 'CR Lakshmi', 'BS Saroja', 'Ambalappuzha Meenakshi', 'TS Muthaiah', 'Muthukulam Raghavan Pilla', 'Sathyan', 'Veeran']"
,,Jeo Productions,,OJ Thottan,,,OJ Thottan,OJ Thottan,,NM Sankar,"Abhayadev, NX Kurien",,Alphonsa (1952),,TR Pappa,,NX George,OJ Thottan,,"P Leela, AP Komala, Janamma David, Jose Prakash, Mothi, Nagayya",,1952-05-12,OJ Thottan,"['Jose Prakash', 'Rose', 'Ansalees', 'CR Lakshmi', 'EC Jacob', 'Kamalakshi', 'Miss Kumari', 'PK Mohan', 'Surendranath R', 'TM Abraham']"
,,K&K Productions,,ER Cooper,,,Muthukulam Raghavan Pilla,Mohan Rao,,PP Varghese,"Abhayadev, Changampuzha",,Vishappinte Vili (1952),,PS Divakar,,"M Kunchacko, KV Koshy",Muthukulam Raghavan Pilla,,"P Leela, AM Raja, Jikki (PG Krishnaveni), Jose Prakash, Kaviyoor CK Revamma, Mothi, M Sathyam",,1952-08-22,K&K Productions,"['Adoor Pankajam', 'Mathappan', 'Kumari Thankam', 'Kalaikkal Kumaran', 'Ambika Sukumaran', 'Sasikumar', 'Muthukulam Raghavan Pilla', 'Jose Prakash', 'Prem Nazir', 'Thikkurissi Sukumaran Nair', 'Nanukkuttan', 'Pankajavalli', 'SP Pillai', 'Vanakkutty', 'Baby Girija']"
,,MP Productions,,,,,Kedamangalam Sadanandan,SK Chari,Pearl Pictures,,Abhayadev,,Marumakal (1952),,PS Divakar,,Paul Kallungal,Kedamangalam Sadanandan,,"Jikki (PG Krishnaveni), Kaviyoor CK Revamma, Prasad Rao, Sebastian Joseph, TA Lakshmi",,1952-09-05,MP Productions,"['Neyyaattinkara Komalam', 'Prem Nazir']"
,,Geo Pictures,,,,,NP Chellappan Nair,Joseph Thaliyath,,,Abhayadev,,Aathmashaanthi (1952),,TR Pappa,,NX George,NP Chellappan Nair,,"P Leela, AP Komala, Janamma David, Mothi, Vijaya Rao",,1952-03-21,NP Chellappan Nair,"['Miss Kumari', 'Vanchiyoor Madhavan Nair']"
,,Pakshiraja Studio,,Shailan Bose,,,"Manikyam, Munshi Paramupillai",Shri Ramulu Naidu,,,"Abhayadev, Muthuswamy Dikshithar",,Kaanchana (1952),,"SM Subbaiah Naidu, Muthuswamy Dikshithar",,Shri Ramulu Naidu,Munshi Paramupillai,,"Jayalakshmi (Radhajayalakshmi), ML Vasanthakumari, PA Periyanaayaki",,1952-11-10,Lekshmi (Thripurasundari),"['Lalitha', 'Miss Kumari', 'Padmini', 'KR Ramaswami']"
C Ramaraju,,Associated Producers,,V Rajagopal,,,Nagavally RS Kurup,K Vembu,,R Rajagopal,P Bhaskaran,,Amma (1952),,V Dakshinamoorthy,,TE Vasudevan,,,"V Dakshinamoorthy, P Leela, Ghantasala, Gokulapalan, Janamma David, Kaviyoor CK Revamma, Balakrishna Menon",,1952-06-12,Nagavally RS Kurup,"['Thikkurissi Sukumaran Nair', 'TS Muthaiah', 'Aranmula Ponnamma', 'BS Saroja', 'Gopalan Nair', 'Lalitha', 'MN Nambiar', 'PM Devan', 'Sarma', 'TS Doraraj']"
