,status,director,producer,banner,story,screenplay,cinematography,movie,year,main_Cast,support_cast,editing,dialogue,lyrics,music,singers,movie genre,original story,art direction,distribution,makeup,background music,costumes,sound design,choreography,shooting location,design
1,Released,VK Prakash,Benzy Martin,Fairy Queen Productions,Rajesh Jayaraman,Rajesh Jayaraman,L Lokanathan,moonaamathoraal,2006,[],"['Kulappulli Leela', 'Vineeth', 'Jayaram', 'Sherin', 'Prem Prakash', 'Kunchan', 'Mala Aravindan', 'Harishree Ashokan', 'Jyothirmayi', 'Samvrutha Sunil']",Don Max,Rajesh Jayaraman,Shibu Chakravarthy,Ouseppachan,"P Jayachandran, G Venugopal, Jyotsna Radhakrishnan, Manjari, Balu, Nikhil Mathew",,,Nadhan Mannur,,,Ouseppachan,,,,,
1,Released,Akhilesh Guruvilas,,Lumere Films,Suresh Pathisseri,Suresh Pathisseri,C Udaya Shankar,achante ponnumakkal,2006,[],"['Saikumar', 'Murali', 'Karthika Mathew', 'Premkumar', 'Mala Aravindan', 'Sona Nair', 'Kanakalatha', 'Sadiq', 'Sudheesh']",PC Mohanan,Suresh Pathisseri,Joffy Tharakan,Joy Madhavan,"P Jayachandran, Sujatha Mohan, Jyotsna Radhakrishnan, Afsal, Palakkadu KL Sreeram, Roshni Mohan, Satheesh Babu, Vishwanath",,,Santhosh Panicker,,,Thashi V,,,,,
1,Released,Lohithadas,GP Vijayakumar,Seven Arts International LTD,Lohithadas,Lohithadas,Rajarathnam,chakkaramuthu,2006,"['Dileep', 'Kavya Madhavan']","['Saikumar', 'Sarayu Mohan', 'Mahesh', 'Kalabhavan Navas', 'Sarath Haridas', 'Sreekala (New)', 'Santhakumari', 'Lakshmipriya', 'Jishnu Raghavan', 'PP Subair', 'Raveendran', 'Manikandan Pattambi', 'Lakshmi Ramakrishnan', 'Kochu Preman', 'Cochin Haneefa']",Raja Mohammad,Lohithadas,"Gireesh Puthenchery, Lohithadas",M Jayachandran,"KJ Yesudas, KS Chithra, Sujatha Mohan, Vineeth Sreenivasan, Rimi Tomy, Tippu",,,Prasanth Madhav,,,Ouseppachan,,,,,Sabu Colonia
1,2006-12-21,Rosshan Andrrews,PV Gangadharan,Grihalakshmi Films,Bobby-Sanjay,Bobby-Sanjay,C Diwakar,note book,2006,"['Parvathi Thiruvoth', 'Roma', 'Skandan', 'Maria Roy']","['Seetha', 'Sukanya', 'Suresh Gopi', 'Aishwarya', 'Aparna Nair', 'Anandavalli', 'Bobby', 'Prem Prakash', 'Mithra Kurian', 'Raveendran', 'Mohiyudeen (EP Moideen)', 'Bhagyalakshmi']",Ranjan Abraham,Bobby-Sanjay,"Vayalar Sarathchandra Varma, Arjun Sasi",Mejo Joseph,"KJ Yesudas, Jyotsna Radhakrishnan, Afsal, Manjari, Vineeth Sreenivasan, Rhea, Rimi Tomy, Sayanora Philip, Sudeep Kumar, Vidhu Prathap, Donan, Vinitha, Ramya, Swapna",,,Sunil Babu,Kalpaka Release,,Gopi Sundar,Sai,,,"Ooty, Kochi",
1,Released,Joshiy,Lal,Lal Creations,Benny P Nayarambalam,Benny P Nayarambalam,Sanjeev Shankar,pothen vava,2006,"['Gopika', 'Usha Uthup', 'Mammootty']","['Saikumar', 'Nedumudi Venu', 'Kalabhavan Narayanankutty', 'Augustine', 'Spadikam George', 'Rajan P Dev', 'Bijukkuttan', 'Kunchan', 'Kalasala Babu', 'Kalabhavan Rahman']",Ranjan Abraham,Benny P Nayarambalam,Vayalar Sarathchandra Varma,Alex Paul,"MG Sreekumar, Madhu Balakrishnan, Jyotsna Radhakrishnan, Afsal, Manjari, Pradeep Palluruthy, Ramesh Babu, Reju Joseph, Usha Uthup",,,Joseph Nellickal,,,,,,,,
1,Released,Vinod Vijayan,Milan Jaleel,Galaxy Films,Rassaque Thyakavu,Sajeevan,Vinod Illampally,red salute,2006,[],"['Kollam Ajith', 'Devan', 'Captain Raju', 'P Ramu', 'Kottayam Nazeer', 'Vijayaraghavan', 'PP Subair', 'Bheeman Raghu', 'Sadiq', 'Cochin Haneefa']",Vivek Harshan,Sajeevan,"Prabha Varma, Santhosh Varma",Alex Paul,Kalabhavan Mani,,,Salu K George,,,,,,,,
1,Released,K Madhu,K Madhu,,AK Sajan,,Saloo George,interpol,2006,[],['Suresh Gopi'],,,,,,,,,,,,,,,,
1,Released,Sonu Sisupal,Manju Thomas,Godson Films,"John, Sudheesh","John, Sudheesh",Rajesh,jayam,2006,[],"['Ottappalam Pappan', 'Kalabhavan Mani', 'Jagathy Sreekumar', 'Vinayakan', 'Chali Pala', 'Anil Murali', 'Nandan', 'Kiran', 'Janardanan', 'Anand Raj', 'Neethu S Nair', 'Sreejith Ravi', 'Rekha', 'Biyon']",K Rajagopal,"John, Sudheesh",BR Prasad,Sonu Sisupal,"KJ Yesudas, KS Chithra, Madhu Balakrishnan, Afsal, Manjari, Ranjini Jose",,,K Krishnankutty,"Emil&Eric Release, Tharun",,SP Venkitesh,,,,,
1,2015-06-19,Mani Ratnam,Beena Soman,,Mani Ratnam,Mani Ratnam,Rajiv Menon,bombay,1995,"['Aravind Swamy', 'Manisha Koirala']","['Prakash Raj', 'Nasser', 'Tinnu Anand ', 'Kitty (Raja Krishnamoorthy)', 'Radhabai']",Suresh URS,Mankombu Gopalakrishnan,Mankombu Gopalakrishnan,AR Rahman,"MG Sreekumar, Gayathri Asokan, Joji, Lekha K Nair, Mano, Ranjini Jose, T Jensen, Vandana Menon",,,Thotta Dharani,,,,,,,"Pollachi, Kasarkode",
1,2006-10-24,Viji Thampy,Siddique,Corporate Cinema,Babu Pallassery,Babu Pallassery,Saloo George,bada dosth,2006,['Suresh Gopi'],"['Kalabhavan Narayanankutty', 'Manikuttan', 'Nisha Chowdhary', 'Manoj K Jayan', 'Tony', 'Cochin Haneefa', 'Deepika Mohan', 'James', 'Karthika Mathew', 'Rasheed', 'Kalabhavan Haneef', 'Kalabhavan Rahman', 'Meghna Naidu', 'Baburaj', 'Angel', 'Jyothirmayi', 'Veni', 'Riyaz Khan', 'Rani', 'Risabava', 'Sreeja Suresh', 'PP Subair', 'Kiran Raj']",MV Sajan,Babu Pallassery,Vayalar,M Jayachandran,Chithra Iyer,,,Girish Menon,,,,,,,,
1,2006-12-29,Rajasenan,M Mani,Sunitha Productions,Rajasenan,Biju Vattapara,KP Nambyathiri,kanaka simhaasanam,2006,"['Jayaram', 'Karthika Mathew', 'Lakshmi Gopalaswamy']","['Suraj Venjaramoodu', 'Tom Jacob', 'Geedha Salam', 'Janardanan', 'Bheeman Raghu', 'Kalasala Babu', 'Kiran Raj', 'Kochu Preman', 'Suby Suresh']",Raja Mohammad,Biju Vattapara,"Traditional, Rajeev Alunkal",M Jayachandran,"KJ Yesudas, KS Chithra, Sujatha Mohan, M Jayachandran, Ganga, Sankaran Namboothiri, Priya",,,Boban,Aroma Release,,SP Venkitesh,,,,,Rahman Design
1,2006-12-22,Blessy,,Dream Team Productions,Blessy,Blessy,Santhosh Thundiyil,palunku,2006,"['Mammootty', 'Lakshmi Sharma']","['Baiju VK', 'Nazriya Nazim', 'Vishnu Unnikrishnan', 'Puthillam Bhasi', 'Prasanth Alexander', 'Munshi Venu', 'Poojappura Radhakrishnan', 'Kalabhavan Rahman', 'Mini Arun', 'Nedumudi Venu', 'Baby Niveditha', 'Jayasanker Karimuttam', 'Santhakumari', 'Thampi Antony', 'Geedha Salam', 'Kottayam Santha', 'Jagathy Sreekumar', 'MC Kattappana', 'PP Subair']",Raja Mohammad,Blessy,"Kaithapram, Vayalar Sarathchandra Varma, D Vinayachandran",Mohan Sithara,"KJ Yesudas, P Jayachandran, G Venugopal, Madhu Balakrishnan, Anu V Kadammanitta, Anwar Sadath, Jassie Gift, Sheela Mani",,,Prasanth Madhav,Dream Team Release,,,,,,,Sabu Colonia
1,"Released, Other language dubbing",VV Vinayak,,,,,,lakshmi,2006,"['Venkatesh', 'Nayanthara']","['Sayaji Shinde', 'Charmi', 'Pradeep Rawat']",,,Rajeev Alunkal,Raman Gokul,"MG Sreekumar, Biju Narayanan, Jyotsna Radhakrishnan, Afsal, Manjari, Jassie Gift, Rimi Tomy, Shankar Mahadevan, Vijay Karun, Amritha, Anoop Shankar",,,,,,,,,,,
1,2007-03-16,Mammy Century,,,,,,komban,2007,[],[],,,Rajeev Alunkal,"SP Bhoopathi, KA Nazir","Jyotsna Radhakrishnan, Afsal",,,,,,,,,,,
1,Released,P Rajasekharan,Bhavageetha,Bhavageetha Cine Arts,Ambalappuzha Sanalkumar,,R Maniprasad,mukhamariyaathe,2006,[],"['GK Pillai', 'Santhakumari', 'Rajan P Dev', 'Siddique']",KR Bose,,"Traditional, Vijayan Nalanda",Vijay Dravid,Jyotsna Radhakrishnan,,,,,,S Jayakumar,,,,,
1,Released,Sivadasan,A Sivaprakash,Aiswarya Cine Arts,,,,raagolsavam,2006,[],[],,,,,,,,,,,,,,,,
1,2007-04-14,Vinayan,Gokulam Gopalan,SreeGokulam Movies,Vinayan,Sunil K Anand,Rajarathnam,athisayan,2007,"['Devadas', 'Jackie Shroff']","['Indrans', 'Kalabhavan Narayanankutty', 'Kavya Madhavan', 'Jayasurya', 'Karthika Mathew', 'Baburaj', 'Rajan P Dev', 'Mukesh', 'P Ramu', 'NL Balakrishnan', 'Lakshmipriya', 'Harishree Ashokan', 'Tini Tom']",G Murali,Sunil K Anand,"Vayalar Sarathchandra Varma, Vinayan, Arjun Sasi",Alphonse Joseph,"Vineeth Sreenivasan, Balu, Karthik, Rimi Tomy, Sithara Krishnakumar, Vidhu Prathap, Arjun Sasi",,,,,,,,,,,
1,2007-11-10,PT Kunju Muhammad,,A & A Productions,PT Kunju Muhammad,PT Kunju Muhammad,KG Jayan,paradesi,2007,"['Mohanlal', 'Swetha Menon']","['Jagadish', 'Suresh Krishna', 'Cochin Haneefa', 'Jagathy Sreekumar', 'Ambika Mohan', 'Siddique', 'Vijayakumar', 'TG Ravi', 'Sona Nair', 'Nilamboor Ayisha', 'Lakshmi Gopalaswamy', 'Padmapriya', 'Irshad', 'VK Sreeraman']",Don Max,PT Kunju Muhammad,Rafeeq Ahamed,"Ramesh Narayan, Shahabaz Aman","MG Sreekumar, Sujatha Mohan, Manjari, Vineeth Sreenivasan",,,Girish Menon,Pyramid Saimira Release,,Ramesh Narayan,,,,,Gayathri Ashokan
1,2007-01-19,Ranjith,,Capitol Cinema,Ranjith,"Ranjith, Ambikasuthan Mangadu",Manoj Pillai,kayyoppu,2007,"['Mammootty', 'Khushboo Sunder']","['Nedumudi Venu', 'P Sukumar (Kiran)', 'Mamukkoya', 'Kozhikode Narayanan Nair', 'Jaffer Idukki', 'Mukesh', 'Neena Kurup', 'Nilamboor Ayisha', 'Abu Salim', 'Anoop Menon', 'Biju Pappan']",Bina Paul,"Ranjith, Ambikasuthan Mangadu","Majrooh Sulthanpuri, Rafeeq Ahamed, Ranjith",Vidyasagar,"Mammootty, Gayathri Asokan, Hariharan",,,Saburam,Power Tuck Multy Media Limitted Release,,Vidyasagar,,,,,Gayathri Ashokan
1,2006-12-15,B Unnikrishnan,GP Vijayakumar,Seven Arts International LTD,B Unnikrishnan,B Unnikrishnan,,smart city,2006,['Suresh Gopi'],"['Jayasurya', 'Sanjay Mithra', 'Rajan P Dev', 'Siddique', 'Beena Antony', 'Gopika', 'Manoj K Jayan', 'Lakshmi Gopalaswamy', 'Rajesh Hebbar']",Manoj,B Unnikrishnan,Shibu Chakravarthy,Manikanth Kadri,"Sujatha Mohan, Karthik, Sayanora Philip",Action,,Joseph Nellickal,Seven Arts,,,,,,,
1,Released,Shaji Kailas,Antony Perumbavoor,Ashirvad Cinemas,SN Swamy,SN Swamy,Shaji Kumar,baba kalyani,2006,['Mohanlal'],"['Kaviyoor Ponnamma', 'Ambika Mohan', 'Innocent', 'Shammi Thilakan', 'Harishree Ashokan', 'Murali', 'Anil Murali', 'Mamtha Mohandas', 'Bhagyalakshmi', 'Saikumar', 'Manuraj', 'Bindu Panicker', 'Indrajith', 'Siddique', 'Biju Menon', 'Biju Pappan', 'TP Madhavan', 'Jagathy Sreekumar', 'Venu Nagavally', 'Chali Pala', 'Ponnamma Babu']",Don Max,SN Swamy,Vayalar Sarathchandra Varma,Alex Paul,"G Venugopal, Jyotsna Radhakrishnan, Manjari, Vidhu Prathap",,,Girish Menon,Central Pictures Release,,Rajamani,,,,,Gayathri Ashokan
1,2007-02-16,Jayaraj,,,,Madambu Kunjukuttan,,aananda bhairavi,2007,"['Devadas', 'Saikumar']","['Babu Namboothiri', 'Harilal', 'Omana', 'KPAC Lalitha']",B Lenin,Madambu Kunjukuttan,"Iqbal, Irayimman Thampi, Muringoor Sankaran Potti, Koteeswara Iyer, Muthuswamy Dikshithar, Muthiah Bhagavathar, Thyagaraja, Palakkad Amrutha Shasthrikal",Veena Parthasarathy,"Arjun B Krishna, Kottakkal Madhu",,,K Krishnankutty,,,Rahul Arul,,,,,
1,2007-01-19,P Anil,Pranavam Menon,,TA Razzaq,TA Razzaq,Anandakkuttan,anchil oraal arjunan,2007,"['Jayaram', 'Padmapriya', 'Samvrutha Sunil']","['Sreenivasan', 'Anil Murali', 'Kalpana']",PC Mohanan,TA Razzaq,"Vayalar Sarathchandra Varma, Rajeev Alunkal",Mohan Sithara,"P Jayachandran, Madhu Balakrishnan, Sankaran Namboothiri, Priya R Pai",,,AV Gokul Das,,,Rajamani,,,,,
1,2007-03-02,Shafi,,Vaishakha Movies,"Rafi, Mecartin","Rafi, Mecartin",Sanjeev Shankar,maayaavi,2007,"['Gopika', 'Mammootty']","['Kalabhavan Narayanankutty', 'Manikuttan', 'Mohan Raj (Keerikkadan Jose)', 'Santhosh Jogi', 'Innocent', 'Anand', 'Nimisha', 'Manoj K Jayan', 'Vishnu Unnikrishnan', 'Cochin Haneefa', 'Vijayan Karanthoor', 'Salim Kumar', 'Kalabhavan Rahman', 'Saikumar', 'Suraj Venjaramoodu', 'P Sreekumar', 'Nandu Pothuval', 'Sagar Shiyas', 'Manka Mahesh', 'James Parackal', 'TP Madhavan', 'Mamukkoya', 'KPAC Lalitha', 'Spadikam George', 'Master Tony', 'Vijayaraghavan']",Hariharaputhran KP,"Rafi, Mecartin",Vayalar Sarathchandra Varma,Alex Paul,"KJ Yesudas, MG Sreekumar, G Venugopal, Manjari",,,Boban,Vaishakha Movies Release,,,,,,,Sabu Colonia
1,2007-04-14,Amal Neerad,"Anto Joseph, Shahul Hameed Marikkar",Marikkar Films,Amal Neerad,Amal Neerad,Sameer Thahir,big b - the body guard,2007,"['Mammootty', 'Manoj K Jayan', 'Nafisa Ali']","['Bala', 'Jaffer Idukki', 'Santhosh Jogi', 'Innocent', 'Lena', 'Sreejith Ravi', 'Manasa', 'Jayaraj Kozhikkode', 'Mamtha Mohandas', 'Shereveer Vakil', 'VK Sreeraman', 'Maniyanpilla Raju', 'Master Shambhu', 'Vinayakan', 'Paris Laxmi', 'Anoop Chandran', 'Sumit Naval', 'Biju Kodungalloor', 'Vijayaraghavan', 'Ramesh Varma', 'Pasupathy']",Vivek Harshan,R Unni,"Joffy Tharakan, Santhosh Varma",Alphonse Joseph,"Jyotsna Radhakrishnan, Vineeth Sreenivasan, Alphonse Joseph, Sayanora Philip, Shelton Pinheiro, Shreya Ghoshal, Mridula Warrier, Sherdhin Thomas",,,Joseph Nellickal,Marikkar Release,,Gopi Sundar,,,,,
1,Released,Jose Nattayam,S Thankappan,JK Productions,Jose Nattayam,,Anil Gopinath,baalyam,2006,[],"['Jagadish', 'Rajendran', 'James', 'KPAC Lalitha', 'Jagannadha Varma', 'Jagathy Sreekumar', 'Ambili Nair', 'Thara Balachandran', 'Rajkumar', 'Lissy Jose', 'Madhu']",,,Biju Bhaskar,Sanjeev Lal,"MG Sreekumar, Manjari",,,,,,,,,,,Hariraj
1,2007-01-27,Johny Antony,Milan Jaleel,Galaxy Films,"Udaykrishna, Sibi K Thomas","Udaykrishna, Sibi K Thomas",P Sukumar (Kiran),inspector garud,2007,"['Dileep', 'Kavya Madhavan']","['Machan Varghese', 'Innocent', 'Anand', 'Shammi Thilakan', 'Abu Salim', 'Harishree Ashokan', 'Cochin Haneefa', 'Suja Menon', 'Salim Kumar', 'NL Balakrishnan', 'Kalabhavan Haneef', 'Kalasala Babu', 'Sadiq', 'Lalu Alex', 'Jagannadha Varma', 'TP Madhavan', 'Charutha', 'Janardanan', 'Vijayaraghavan', 'Kalabhavan Shajohn', 'Urmila Unni', 'Kochu Preman']",Ranjan Abraham,"Udaykrishna, Sibi K Thomas","Vayalar Sarathchandra Varma, Santhosh Varma",Alex Paul,"Afsal, Vineeth Sreenivasan, Pradeep Babu, Reju Joseph, Rimi Tomy",,,Salu K George,,,Ouseppachan,,,,,
1,2007-02-23,Prasad Yadav,,,,,,sketch,2007,[],"['Sreenath', 'Shobha Mohan']",,,"Vayalar Sarathchandra Varma, Rajeev Alunkal",Prakash Ullyeri,"Jyotsna Radhakrishnan, Franco",,,Nadhan Mannur,,,,,,,,
1,2007-02-02,SP Mahesh,Rasheed,Flying Films,Shani Khadhar,Shani Khadhar,Vipin Mohan,changaathippoocha,2007,"['Radhika (New)', 'Jayasurya', 'Ramya Nambeesan']","['Nedumudi Venu', 'Kulappulli Leela', 'Seema G Nair', 'Cochin Haneefa', 'Jagathy Sreekumar', 'Ambika Mohan', 'Machan Varghese', 'Salim Kumar', 'Sudheesh', 'Harishree Ashokan', 'Manka Mahesh', 'Kochu Preman', 'Santhosh Sasidharan']",Raja Mohammad,Shani Khadhar,Gireesh Puthenchery,Ouseppachan,"MG Sreekumar, P Jayachandran, Manjari, Vineeth Sreenivasan",Comedy,,Prasanth Madhav,Emil&Eric Release,,Ouseppachan,,,,,Sabu Colonia
1,2007-03-24,Pramod Pappan,,,Dennis Joseph,Dennis Joseph,Pramod,abraham & lincoln,2007,"['Rahman', 'Kalabhavan Mani']","['Kalabhavan Narayanankutty', 'Bineesh Kodiyeri', 'Ambika Mohan', 'Vimal Raj', 'Salim Kumar', 'Kollam Thulasi', 'Kripa', 'Anoop Menon', 'Biyon']",MV Sajan,Dennis Joseph,Balachandran Chullikkad,Ouseppachan,"Madhu Balakrishnan, Jyotsna Radhakrishnan, Manjari, Balu, Franco, Kalabhavan Mani, Naja, Rimi Tomy, Sayanora Philip",,,Anil Zin-Niya,,,SP Venkitesh,,,,,Gayathri Ashokan
1,2007-02-03,Karunakaran,,,,,,happy be happy,2007,"['Allu Arjun', ""Genelia D'Souza""]","['Thanikella Bharani', 'Seetha', 'Brahmanandam']",,Satheesh Muthukulam,Siju Thuravoor,Yuvan Shankar Raja,"Anwar Sadath, V Devanand, Franco, Jassie Gift, Jose Sagar, Vidhu Prathap, Akhila Anand, Sangeetha (New)",,,,,,,,,,,
1,2007-07-04,Anwar Rashid,"Ajayachandran Nair, Maniyanpilla Raju, Raghuchandran Nair",Sree Bhadra Pictures,Benny P Nayarambalam,Benny P Nayarambalam,Alagappan,chotta mumbai,2007,"['Mohanlal', 'Bhavana']","['Kalabhavan Narayanankutty', 'Rajan P Dev', 'Manikuttan', 'Santhosh Jogi', 'Saranya Sasi', 'Kunchan', 'Munshi Venu', 'Maniyanpilla Raju', 'Saikumar', 'Indrajith', 'Vinayakan', 'Siddique', 'Sanusha', 'James Parackal', 'Kalabhavan Mani', 'Jagathy Sreekumar', 'Mallika Sukumaran', 'Shakkeela', 'Bijukkuttan', 'Vijayaraghavan']",Don Max,Benny P Nayarambalam,"Sreekumaran Thampi, Vayalar Sarathchandra Varma, Santhosh Varma, Arjun Sasi",Rahul Raj,"MG Sreekumar, Afsal, Rahul Raj, Rimi Tomy, Sangeetha Prabhu (Sangeetha Sreekant), Sayanora Philip, Shankar Mahadevan, Vipin Xavier, Arjun Sasi, Sangeeth, Sreelakshmi, Sreerag Saji",,,Sunil Babu,,,,,,,,Collins Leophil
1,2007-07-04,Sathyan Anthikkad,MM Hamsa,Kala Sangham,Sathyan Anthikkad,Sathyan Anthikkad,S Kumar,vinodayaathra,2007,"['Dileep', 'Mukesh', 'Meera Jasmine']","['Anoop Chandran', 'Nedumudi Venu', 'Sreelatha Namboothiri', 'Mamukkoya', 'Sabitha Anand', 'Murali', 'KPAC Lalitha', 'Seetha', 'Sethulakshmy', 'Reshmi Boban', 'Ganapathi (Master Ganapathi)', 'Parvathi Thiruvoth', 'Innocent', 'Vijayaraghavan', 'Manjusha Sajish', 'Babu Namboothiri', 'Bhagyalakshmi', 'Manikandan Pattambi']",K Rajagopal,Sathyan Anthikkad,Vayalar Sarathchandra Varma,Ilayaraja,"KJ Yesudas, Madhu Balakrishnan, Afsal, Manjari, Vineeth Sreenivasan, Shweta Mohan, Vijay Yesudas",,,Manu Jagath,Kalasangham Release,Pandyan,Ilayaraja,Sai,,,,Jissen Paul
1,2007-03-16,Mohan Kupleri,,,Biju Devassey,Biju Devassey,Sreesankar,paayum puli,2007,"['Kalabhavan Mani', 'Rambha']","['Saikumar', 'Ambika Mohan', 'Chandra Lakshman', 'Sukumari', 'Shobha Mohan']",PC Mohanan,Biju Devassey,"Gireesh Puthenchery, Rajeev Alunkal",Mohan Sithara,"Jyotsna Radhakrishnan, Kalabhavan Mani, Sheela Mani, Vidhu Prathap, Sunita Menon",,,Nadhan Mannur,,,,,,,,
1,2007-04-14,MA Venu,Lal,Lal Creations,MA Venu,J Pallassery,Venugopal,panthayakkozhi,2007,[],"['Indrans', 'Anoop Chandran', 'Geetha', 'TP Madhavan', 'Ramya Nambeesan', 'Madhu', 'Anil Murali', 'Pooja', 'Mala Aravindan', 'Bhagyalakshmi', 'Sudheesh', 'Narain', 'Abu Salim', 'Janardanan', 'Sreejith Ravi', 'Mini Arun', 'Manka Mahesh', 'Cochin Haneefa']",V Saajan,J Pallassery,Vayalar Sarathchandra Varma,Alex Paul,"Sujatha Mohan, Biju Narayanan, Vineeth Sreenivasan, Liji Francis, Pradeep Palluruthy, Ramesh Babu, Reju Joseph, Sangeetha Prabhu (Sangeetha Sreekant), Shweta Mohan, Vidhu Prathap",,,Salu K George,Lal Release,,,,,,,Jissen Paul
1,"Released, Other language dubbing",VN Adithya,,,,,,boss i love you,2006,[],"['Nayanthara', 'Nagarjuna']",,,Rajeev Alunkal,"Kalyani Malik, Hari Anand","Biju Narayanan, Jyotsna Radhakrishnan, Afsal, Manjari, Vineeth Sreenivasan, Anwar Sadath, Gayathri Asokan, Sudeep Kumar, Akhila Anand",,,,,,,,,,,
1,2007-11-05,George Kithu,"Devadas Mackenchery, Thekkumari Haridas",Big Ben Films International,Deepu Karulaay,Deepu Karulaay,Sreesankar,sooryakireedam,2007,[],"['Vijay Menon', 'Mamukkoya', 'Lishoy', 'Nithya Das', 'Indrajith', 'Santhakumari', 'Nishant Sagar', 'Prasanth Alexander', 'Sandra Amy (Jose)', 'PP Subair', 'Shaalin Zoya', 'Shammi Thilakan', 'Unni Shivapal', 'Ramya Nambeesan', 'VK Sreeraman']",K Rajagopal,Deepu Karulaay,"Kanesh Punoor, Rafeeq Ahamed","Bennett, Veetrag","Jyotsna Radhakrishnan, Chithra Iyer, Delcy Ninan, Ranjini Jose, Sugeetha Menon, Veetrag, Sruthy",,,N Rajagopal,Emil&Eric Release,,Rajamani,,,,,Rahman Design
1,Released,Kailas Rao,,,,,,mouryan,2006,[],[],,,Kaithapram,Kaithapram Viswanath,"KJ Yesudas, KS Chithra, MG Sreekumar, P Jayachandran, Kaithapram Viswanath, Vijesh Gopal, Sreerenjini",,,,,,,,,,,
1,2007-05-18,Shaji Kailas,Gopan,,Rajesh Jayaraman,Rajesh Jayaraman,Rajarathnam,time,2007,"['Suresh Gopi', 'Suresh Gopi', 'Vimala Raman']","['Saikumar', 'Lal', 'James', 'Iniya', 'Raj Kapoor', 'Baburaj', 'Parvathi T (Maala Parvathi)', 'Mohan Raj (Keerikkadan Jose)', 'Siddique', 'Shobi Thilakan', 'Vijayakumar', 'Bhagyalakshmi', 'Vijayan Karanthoor', 'Manoj K Jayan', 'Padmapriya', 'Biju Pappan', 'Geedha Salam', 'TP Madhavan']",L Bhoominathan,Rajesh Jayaraman,Gireesh Puthenchery,Rahul Raj,"Madhu Balakrishnan, Asha Ashok, Sangeetha Prabhu (Sangeetha Sreekant)",,,Boban,,Pradeep Rangan,,,,,,Rahman Design
1,2009-03-26,"KJ Abraham Lincoln, KP Venu",KP Venu,,PG Johnson,PG Johnson,Jibu Jacob,anaamika,2009,"['Samvrutha Sunil', 'Arun']","['Indu Mohan', 'Kaviyoor Ponnamma', 'Rajan P Dev', 'Machan Varghese', 'Salim Kumar', 'Devi Chandana', 'Ponnamma Babu', 'Shobha Mohan']",Vijaya Kumar,PG Johnson,"KL Sreekrishnadas, Jiji Thomson",MK Arjunan,"P Jayachandran, G Venugopal, Nikhil K Menon, Radhika Thilak",,,Rajesh Kalpathur,,,Manu Ramesan,,,,,Rahman Design
1,2007-11-05,Kamal,,Neelagiri Movie Productions,Kalavoor Ravikumar,Kalavoor Ravikumar,P Sukumar (Kiran),goal,2007,['Rejith Menon'],"['Rahman', 'Captain Raju', 'Midhun Ramesh', 'Muktha George', 'Mukesh', 'Sangeeth']",K Rajagopal,Kalavoor Ravikumar,"Gireesh Puthenchery, Vayalar Sarathchandra Varma, George Peter",Vidyasagar,"Jyotsna Radhakrishnan, Vineeth Sreenivasan, Ajay Sathyan, V Devanand, George Peter, Nithin Raj, Shweta Mohan, Job (Singer), Mridula Warrier, Sangeeth",,,Suresh Kollam,Central Pictures,,,,,,,
1,2007-08-06,Uday Anandan,AV Anoop,AVA Productions,Rafeeq Ahamed,"Uday Anandan, K Gireesh Kumar","Jibu Jacob, L Lokanathan",pranayakaalam,2007,"['Vimala Raman', 'Ajmal Ameer']","['Sruthi Nair', 'Murali', 'Thilakan', 'Baburaj', 'Balachandra Menon', 'Seema', 'Madhu Warrier', 'Lakshmi Ramakrishnan']",L Bhoominathan,K Gireesh Kumar,"Kumaranasan, Rafeeq Ahamed, Thyagaraja",Ouseppachan,"KJ Yesudas, KS Chithra, Sujatha Mohan, Franco, Gayathri Asokan, Kalyani Menon, Ranjith Govind, Sayanora Philip, Vidhu Prathap",,,AV Gokul Das,,,Ouseppachan,,,,,Sabu Colonia
1,2007-05-07,"Rafi, Mecartin",Joy Thomas Sakthikulangara,Jithin Arts,"Rafi, Mecartin","Rafi, Mecartin",Sanjeev Shankar,hallo,2007,"['Mohanlal', 'Parvathi Melton']","['Ashokan', 'Fathima Babu', 'Ambika Mohan', 'Mohan Raj (Keerikkadan Jose)', 'Bheeman Raghu', 'Madhu Warrier', 'Abu Salim', 'Saiju Kurup', 'Jagadish', 'Indulekha', 'Salim Kumar', 'Mini Arun', 'Ganesh Kumar', 'Maya Viswanath', 'Suraj Venjaramoodu', 'Bindu Murali', 'Siddique', 'Manka Mahesh', 'Kollam Ajith', 'Risabava', 'Spadikam George', 'Jagathy Sreekumar', 'Johny', 'Ramadevi', 'Janardanan', 'Sona Nair', 'Madhu', 'Samvrutha Sunil']",Don Max,"Rafi, Mecartin",Vayalar Sarathchandra Varma,Alex Paul,"KS Chithra, MG Sreekumar, Afsal, Manjari, Cochin Ibrahim, Sangeetha Prabhu (Sangeetha Sreekant), Shweta Mohan, Vidhu Prathap, Akhila Anand, Andriya",,,Boban,,,,,,,,Collins Leophil
