,status,director,producer,banner,story,screenplay,cinematography,movie,year,main_Cast,support_cast,editing,dialogue,lyrics,music,singers,movie genre,original story,art direction,distribution,makeup,background music,costumes,sound design,choreography,shooting location,design
1,Unreleased,KMK Menon,KMK Menon,,K Balakrishnan,K Balakrishnan,,thyaagaseema,1951,"['Indira Bhai Thankachi', 'Prem Nazir', 'Sathyan']","['Sethulakshmi (Old)', 'Bharathi Menon', 'G Vivekanandan', 'CI Parameswaran Pillai', 'Sree Narayana Pillai', 'NP Chellappan Nair', 'PK Vikraman Nair']",,K Balakrishnan,P Bhaskaran,PS Divakar,,,,,,,,,,,,
1,1952-01-16,Joseph Pallippaattu,,,Joseph Pallippaattu,Joseph Pallippaattu,,suhruthu,1952,[],"['Alex Parakkal', 'MP Sanku', 'PM Revamma', 'V Ramachandran', 'PK Sankar', 'MS Namboothiri']",,Joseph Pallippaattu,"PJ Antony, RA Kollamkode",G Viswanath,,,,,,,,,,,,
1,1952-12-24,MRS Mani,M Kunchacko,Excel Productions,Thikkurissi Sukumaran Nair,Thikkurissi Sukumaran Nair,P Balasubramaniam,achan,1952,[],"['SP Pillai', 'Boban Kunchacko', 'Mathappan', 'Jayasree (Old)', 'Pankajavalli', 'BS Saroja', 'Sebastian Kunjukunju Bhagavathar', 'Vanakkutty', 'CR Lakshmi', 'Prem Nazir', 'Baby Girija', 'CR Rajakumari', 'Adoor Pankajam']",Mrs. Rajagopal,Thikkurissi Sukumaran Nair,Abhayadev,PS Divakar,"P Leela, AM Raja, Kaviyoor CK Revamma, Thiruvananthapuram V Lakshmi, Kozhikode Abdul Khader, M Sathyam",,,,,,,,,,,
1,1952-07-25,MK Mani,,Aravind Productions,Vanakkutty,,,premalekha,1952,[],"['SP Pillai', 'Ambalappuzha Rajamma', 'SR Pallatt', 'Chitoor Madhavankutty Menon', 'TR Omana', 'Jose Prakash', 'Baby Girija', 'Adoor Pankajam', 'Omalloor Chellamma', 'Ambalappuzha Meenakshi']",,Vanakkutty,Vanakkutty,PS Divakar,"Janamma David, Jose Prakash, NL Ganasaraswathy, Prasad Rao, TA Lakshmi, Ramani",,,,,,,,,,,
1,1952-08-17,GR Rao,P Subramaniam,Neela Productions,KP Kottarakkara,Thirunayinaarkurichi Madhavan Nair,,aathmasakhi,1952,[],"['Sathyan', 'BS Saroja', 'Pankajavalli', 'Veeran', 'MN Nambiar', 'Chandni (NR Thankam)', 'TS Muthaiah', 'Kumari Thankam', 'CR Lakshmi', 'Miss Kumari', 'Muthukulam Raghavan Pilla', 'Ambalappuzha Meenakshi']",,Thirunayinaarkurichi Madhavan Nair,Thirunayinaarkurichi Madhavan Nair,Br Lakshmanan,"P Leela, Ghantasala, Jikki (PG Krishnaveni), Mothi, NL Ganasaraswathy, T Lokanathan",,,,,K Velappan,,,,,,
1,1952-05-12,OJ Thottan,NX George,Jeo Productions,OJ Thottan,OJ Thottan,OJ Thottan,alphonsa,1952,[],"['EC Jacob', 'Jose Prakash', 'TM Abraham', 'Kamalakshi', 'Surendranath R', 'PK Mohan', 'Ansalees', 'CR Lakshmi', 'Miss Kumari', 'Rose']",NM Sankar,OJ Thottan,"Abhayadev, NX Kurien",TR Pappa,"P Leela, AP Komala, Janamma David, Jose Prakash, Mothi, Nagayya",,,,,,,,,,,
1,1952-08-22,Mohan Rao,"M Kunchacko, KV Koshy",K&K Productions,K&K Productions,Muthukulam Raghavan Pilla,ER Cooper,vishappinte vili,1952,[],"['SP Pillai', 'Mathappan', 'Pankajavalli', 'Nanukkuttan', 'Thikkurissi Sukumaran Nair', 'Ambika Sukumaran', 'Kalaikkal Kumaran', 'Prem Nazir', 'Kumari Thankam', 'Sasikumar', 'Jose Prakash', 'Vanakkutty', 'Baby Girija', 'Adoor Pankajam']",PP Varghese,Muthukulam Raghavan Pilla,"Abhayadev, Changampuzha",PS Divakar,"P Leela, AM Raja, Jikki (PG Krishnaveni), Jose Prakash, Kaviyoor CK Revamma, Mothi, M Sathyam",,,,,,,,,,,
1,1952-09-05,SK Chari,Paul Kallungal,MP Productions,MP Productions,Kedamangalam Sadanandan,,marumakal,1952,"['Prem Nazir', 'Neyyaattinkara Komalam']","['SV Susheela', 'SJ Dev', 'Durga Varma', 'T Revathi ', 'TS Muthaiah', 'Ammini', 'L Vijayalakshmi ']",,Kedamangalam Sadanandan,Abhayadev,PS Divakar,"Jikki (PG Krishnaveni), Kaviyoor CK Revamma, Prasad Rao, Sebastian Joseph, TA Lakshmi",,,,Pearl Pictures,,,,,,,
1,1952-03-21,Joseph Thaliyath,NX George,Geo Pictures,NP Chellappan Nair,NP Chellappan Nair,,aathmashaanthi,1952,"['Miss Kumari', 'Vanchiyoor Madhavan Nair']","['CR Lakshmi', 'Friend Ramaswamy', 'SP Pillai', 'Kottarakkara Sreedharan Nair', 'Neyyaattinkara Komalam', 'Aranmula Ponnamma', 'S Menaka']",,NP Chellappan Nair,Abhayadev,TR Pappa,"P Leela, AP Komala, Janamma David, Mothi, Vijaya Rao",,,,,,,,,,,
1,1952-11-10,Shri Ramulu Naidu,Shri Ramulu Naidu,Pakshiraja Studio,Lekshmi (Thripurasundari),Munshi Paramupillai,Shailan Bose,kaanchana,1952,"['KR Ramaswami', 'Lalitha', 'Miss Kumari', 'Padmini']","['TS Doraraj', 'K Doraiswamy', 'Aranmula Ponnamma', 'MN Nambiar', 'KS Kannayya', 'NS Narayana Pillai', 'Thankamma', 'Thankam', 'PA Thomas']",,"Manikyam, Munshi Paramupillai","Abhayadev, Muthuswamy Dikshithar","SM Subbaiah Naidu, Muthuswamy Dikshithar","Jayalakshmi (Radhajayalakshmi), ML Vasanthakumari, PA Periyanaayaki",,,,,,,,,,,
