year,movie_title,movie_actors
1967,Kaavaalam Chundan (1967),"Sathyan ,PJ Antony ,SP Pillai ,Kaduvakkulam Antony ,Sarada ,Adoor Pankajam ,Radha Sr. ,Joseph Chacko ,Pankajavalli ,Adoor Bhasi ,Manavalan Joseph ,Santo Krishnan ,PA Jacob ,Mathew Kutty ,Aranmula Ponnamma ,Adoor Bhavani ,Khadeeja ,Roy"
1967,Agniputhri (1967),"Prem Nazeer ,TS Muthaiah ,Adoor Bhasi ,TK Balachandran ,Bahadoor ,SP Pillai ,Jose Prakash ,Sheela ,Vasantha ,TR Omana ,Aranmula Ponnamma ,Meena ,Baby Usha ,Kaduvakkulam Antony ,MG Menon ,KG Menon"
1967,Indulekha (1967),"Rajmohan ,Sankaradi ,Cherthala Raman Nair ,Aravindaksha Menon ,Vaikam Mani ,Kodungallur Amminiyamma ,Sreekala ,Omana ,Changanassery Natarajan ,TCN Nambiar ,Muthukulam NK Achary"
1967,Karutha Raathrikal (1967),"Madhu ,TK Balachandran ,SP Pillai ,Vaikam Mani ,N Govindankutty ,Muthukulam Raghavan Pillai ,KV Shanthi ,Rajashree (Gracy)"
1967,Pareeksha (1967),"Thikkurissi Sukumaran Nair ,Prem Nazeer ,Adoor Bhasi ,PA Latheef ,PJ Antony ,Panjabi ,Sarada ,TR Omana ,Khadeeja ,Shobha ,Jr Padmini"
1967,Ashwamedham (1967),"Sathyan ,Prem Nazeer ,Madhu ,Adoor Bhasi ,Bahadoor ,PJ Antony ,Kambissery Karunakaran ,Sheela ,Sukumari ,TR Omana ,Indira Thampi ,Santha Devi ,GK Pillai ,Benny (Distributor) ,Ramesh ,Master Sajith"
1967,Paavapettaval (1967),"Sathyan ,SP Pillai ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,O Ramdas ,Kamaladevi ,Sukumari ,Aranmula Ponnamma ,Vidhubala ,Ranichandra ,N Govindankutty ,CI Paul ,Hari ,Sreelatha Namboothiri ,Khadeeja ,Punaloor F Alex ,JAR Anand ,K Bhaskaran"
1968,Ezhu Raathrikal (1968),"Chachappan ,Alummoodan ,Nellikkodu Bhaskaran ,Kedamangalam Ali ,Master Pramod ,N Govindankutty ,Kuttan Pillai ,Kaduvakkulam Antony ,Jeysi ,Kamaladevi ,Latha Raju ,TP Radhamani"
1968,Inspector (1968),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,KP Ummer ,Adoor Bhasi ,Kaduvakkulam Antony ,GK Pillai ,Udayachandrika ,Jyothilakshmi ,Prameela"
1968,Kodungallooramma (1968),"Prem Nazeer ,KR Vijaya ,Thikkurissi Sukumaran Nair ,Kottarakkara Sreedharan Nair ,SP Pillai ,Adoor Pankajam ,GK Pillai ,Adoor Bhasi ,Aranmula Ponnamma ,N Govindankutty ,Jyothilakshmi ,Kanchana ,Kaduvakkulam Antony ,Nellikkodu Bhaskaran"
